"","frequency"
"fire",19673
"climate",10164
"change",7580
"forest",7235
"species",5605
"global",5391
"use",4880
"can",4833
"new",4143
"forests",4045
"management",4000
"ﬁre",3760
"human",3657
"also",3588
"may",3563
"changes",3486
"vegetation",3483
"effects",3341
"research",3297
"land",3236
"fires",3195
"science",3096
"university",2973
"carbon",2955
"data",2821
"ecology",2687
"future",2684
"plant",2664
"rev",2645
"ecosystems",2612
"area",2601
"ecol",2596
"fuel",2538
"environmental",2516
"areas",2482
"impacts",2453
"time",2435
"wwwannualreviewsorg",2415
"ecological",2412
"doi",2409
"landscape",2385
"studies",2381
"models",2368
"water",2338
"review",2319
"high",2308
"large",2304
"will",2281
"environ",2279
"years",2187
"many",2174
"model",2161
"increase",2152
"conditions",2098
"downloaded",2072
"provided",2032
"however",2031
"tech",2030
"sci",2005
"texas",1992
"annu",1990
"ecosystem",1984
"regimes",1943
"one",1927
"natural",1923
"figure",1921
"access",1904
"activity",1863
"different",1862
"wildfire",1831
"emissions",1829
"used",1824
"study",1804
"tropical",1790
"risk",1783
"system",1769
"systems",1749
"burning",1743
"soil",1711
"across",1709
"increased",1703
"important",1694
"example",1689
"nature",1680
"lubbock",1651
"north",1646
"using",1646
"personal",1639
"earth",1632
"journal",1600
"plants",1589
"evolution",1575
"wildland",1572
"biodiversity",1555
"potential",1552
"early",1550
"analysis",1544
"range",1510
"spatial",1505
"australia",1496
"temperature",1479
"within",1472
"local",1471
"including",1470
"western",1466
"usa",1452
"population",1448
"tree",1448
"processes",1447
"impact",1446
"recent",1442
"evidence",1440
"patterns",1423
"see",1422
"burned",1421
"history",1419
"world",1415
"regions",1372
"low",1363
"health",1355
"past",1355
"northern",1353
"well",1343
"press",1333
"res",1318
"likely",1311
"conservation",1298
"two",1293
"although",1276
"atmospheric",1276
"national",1275
"diversity",1272
"landscapes",1258
"environment",1245
"southern",1243
"development",1237
"south",1232
"associated",1231
"current",1228
"growth",1228
"based",1215
"anthropocene",1209
"states",1208
"role",1203
"surface",1196
"dynamics",1194
"number",1184
"social",1184
"dry",1178
"response",1176
"biomass",1175
"due",1172
"regional",1172
"interactions",1171
"zealand",1166
"annual",1163
"often",1163
"resources",1159
"united",1158
"communities",1149
"events",1144
"warming",1128
"effect",1120
"knowledge",1117
"frequency",1110
"since",1104
"fig",1100
"air",1095
"increasing",1091
"drought",1083
"boreal",1076
"scale",1075
"even",1069
"indigenous",1068
"energy",1066
"policy",1065
"available",1063
"higher",1063
"understanding",1058
"weather",1057
"van",1056
"factors",1047
"levels",1043
"production",1042
"economic",1033
"america",1030
"distribution",1028
"found",1026
"values",1026
"increases",1023
"state",1019
"precipitation",1017
"approach",1014
"trends",1012
"trees",1011
"anthropogenic",1004
"crossref",1004
